"Order Date","Customer ID","Product ID","Quantity","Customer Name","Email","Country","Coffee Type","Roast Type","Size","Unit Price"
"2019-09-05","17670-51384-MA","E-M-0.5",5,"Aloisia Allner","aallner0@lulu.com","United States","Exc","M",0.5,8.25
"2019-09-05","17670-51384-MA","R-M-1",2,"Aloisia Allner","aallner0@lulu.com","United States","Rob","M",1.0,9.95
"2021-06-17","21125-22134-PX","A-L-1",1,"Jami Redholes","jredholes2@tmall.com","United States","Ara","L",1.0,12.95
"2021-07-15","23806-46781-OU","R-L-2.5",2,"Christoffer O' Shea","","Ireland","Rob","L",2.5,27.485
"2021-07-15","23806-46781-OU","E-M-1",2,"Christoffer O' Shea","","Ireland","Exc","M",1.0,13.75
"2021-08-04","86561-91660-RB","L-D-1",3,"Beryle Cottier","","United States","Lib","D",1.0,12.95
"2022-01-21","65223-29612-CB","E-D-0.5",3,"Shaylynn Lobe","slobe6@nifty.com","United States","Exc","D",0.5,7.29
"2022-05-20","21134-81676-FR","L-L-0.2",1,"Melvin Wharfe","","Ireland","Lib","L",0.2,4.755
"2019-01-02","03396-68805-ZC","R-M-0.5",3,"Guthrey Petracci","gpetracci8@livejournal.com","United States","Rob","M",0.5,5.97
"2019-09-05","61021-27840-ZN","R-M-0.5",1,"Rodger Raven","rraven9@ed.gov","United States","Rob","M",0.5,5.97
"2021-03-08","76239-90137-UQ","A-D-1",4,"Ferrell Ferber","fferbera@businesswire.com","United States","Ara","D",1.0,9.95
"2020-10-28","49315-21985-BB","E-L-2.5",5,"Duky Phizackerly","dphizackerlyb@utexas.edu","United States","Exc","L",2.5,34.155
"2022-07-02","34136-36674-OM","R-M-1",5,"Rosaleen Scholar","rscholarc@nyu.edu","United States","Rob","M",1.0,9.95
"2020-05-22","39396-12890-PE","R-D-2.5",2,"Terence Vanyutin","tvanyutind@wix.com","United States","Rob","D",2.5,20.585
"2022-04-05","95875-73336-RG","L-D-0.2",3,"Patrice Trobe","ptrobee@wunderground.com","United States","Lib","D",0.2,3.885
"2022-06-07","25473-43727-BY","R-M-2.5",5,"Llywellyn Oscroft","loscroftf@ebay.co.uk","United States","Rob","M",2.5,22.885
"2019-03-20","99643-51048-IQ","A-M-0.2",6,"Minni Alabaster","malabasterg@hexun.com","United States","Ara","M",0.2,3.375
"2019-10-19","62173-15287-CU","A-L-1",6,"Rhianon Broxup","rbroxuph@jimdo.com","United States","Ara","L",1.0,12.95
"2019-06-13","57611-05522-ST","R-D-2.5",4,"Pall Redford","predfordi@ow.ly","Ireland","Rob","D",2.5,20.585
"2020-12-04","76664-37050-DT","E-D-0.2",4,"Aurea Corradino","acorradinoj@harvard.edu","United States","Exc","D",0.2,3.645
"2020-12-04","76664-37050-DT","A-M-0.2",5,"Aurea Corradino","acorradinoj@harvard.edu","United States","Ara","M",0.2,3.375
"2020-12-04","03090-88267-BQ","A-D-0.2",6,"Avrit Davidowsky","adavidowskyl@netvibes.com","United States","Ara","D",0.2,2.985
"2021-01-22","37651-47492-NC","R-M-2.5",4,"Annabel Antuk","aantukm@kickstarter.com","United States","Rob","M",2.5,22.885
"2022-02-11","95399-57205-HI","A-D-0.2",4,"Iorgo Kleinert","ikleinertn@timesonline.co.uk","United States","Ara","D",0.2,2.985
"2021-09-15","24010-66714-HW","A-M-1",1,"Chrisy Blofeld","cblofeldo@amazon.co.uk","United States","Ara","M",1.0,11.25
"2020-10-24","07591-92789-UA","E-M-0.2",3,"Culley Farris","","United States","Exc","M",0.2,4.125
"2019-02-20","49231-44455-IC","A-M-0.5",4,"Selene Shales","sshalesq@umich.edu","United States","Ara","M",0.5,6.75
"2019-10-08","50124-88608-EO","A-M-0.2",5,"Vivie Danneil","vdanneilr@mtv.com","Ireland","Ara","M",0.2,3.375
"2022-08-02","00888-74814-UZ","A-D-0.5",3,"Theresita Newbury","tnewburys@usda.gov","Ireland","Ara","D",0.5,5.97
"2019-02-20","14158-30713-OB","A-D-1",4,"Mozelle Calcutt","mcalcuttt@baidu.com","Ireland","Ara","D",1.0,9.95
"2021-09-25","51427-89175-QJ","L-M-0.5",6,"Adrian Swaine","","United States","Lib","M",0.5,8.73
